id;idOrderMaster;Numar Comanda;Serie;Serie/Numar;Client;Data Start;Data Finalizare;Persoana Adaugare;Stare;PRE_ID Articol;PRE_Cod Articol;PRE_Denumire Articol;PRE_Cantitate Reteta;PRE_Cantitate Predare;Greutate PRE_Articol_Totala(KG);PRE_U.M.;PRE_LOT;PRE_DataExpirare;PRE_DataProdutie;PRE_Pierdere;PRE_Pierdere_Procente;Furnizor;CON_Id Articol;CON_Cod Articol;CON_Denumire Articol;CON_Cantitate Reteta;CON_Cantitate Consumata;CON_U.M.;CON_LOT;CON_DataExpirare;CON_DataProductie;Utilaj Productie;Greutate CON_Articol(KG);Greutate CON_Articol_Totala(KG)
"267829";"267828";"0029595_DC";"DECONGELARE";"DECONGELARE 0029595_DC";"";"01/04/2026 04:18:40";"01.04.2026 04:21 AM";"system";"Inchisa";"2070";"DS099904061";"PF-REFRIGERAT-FD CARACATITA 08/1 BAX 3 KG CARREFOUR";"28";"61.3";"61.3";"Kilogram";"090.26";"08/04/2026 00:00:00";"01/04/2026 04:20:57";"-15.32";"-20.00%";;"813";"DS099903350";"CARACATITA 1-2 SPANIA MOY";"117.6";"58.375";"Kilogram";"26.01.24";"14/01/2028 00:00:00";"26/01/2026 00:00:00";"MASA";"1";"76.625"
"267829";"267828";"0029595_DC";"DECONGELARE";"DECONGELARE 0029595_DC";"";"01/04/2026 04:18:40";"01.04.2026 04:21 AM";"system";"Inchisa";"2070";"DS099904061";"PF-REFRIGERAT-FD CARACATITA 08/1 BAX 3 KG CARREFOUR";"28";"61.3";"61.3";"Kilogram";"090.26";"08/04/2026 00:00:00";"01/04/2026 04:20:57";"-15.32";"-20.00%";;"813";"DS099903350";"CARACATITA 1-2 SPANIA MOY";"117.6";"18.25";"Kilogram";"26.01.24";"14/01/2028 00:00:00";"26/01/2026 00:00:00";"MASA";"1";"76.625"
"267829";"267828";"0029595_DC";"DECONGELARE";"DECONGELARE 0029595_DC";"";"01/04/2026 04:18:40";"01.04.2026 04:21 AM";"system";"Inchisa";"2070";"DS099904061";"PF-REFRIGERAT-FD CARACATITA 08/1 BAX 3 KG CARREFOUR";"28";"61.3";"61.3";"Kilogram";"090.26";"08/04/2026 00:00:00";"01/04/2026 04:20:57";;"0%";;"1693";"40003";"ETICHETE DIRECT TERMICE 90x60MM";"29.4";"28";"BUCATA";"02.03.26";"02/03/2028 00:00:00";;"MASA";"1";"28"
"268731";"268730";"0029809_FL";"FILETARE";"FILETARE 0029809_FL";"";"03/04/2026 18:43:32";"03.04.2026 06:47 PM";"system";"Inchisa";"2391";"DS099904345";"PF-REFRIGERAT-P MEDALION SOMON 170-230G";"4";"60";"60";"Kilogram";"096.26";"14/04/2026 00:00:00";"03/04/2026 18:46:55";"-22.00";"-26.83%";;"1651";"DS099903718";"REFRIGERAT-P SOMON EVISCERAT 4-5";"84";"82";"Kilogram";"8956";"14/04/2026 00:00:00";"31/03/2026 00:00:00";"MASA";"1";"82"
"268731";"268730";"0029809_FL";"FILETARE";"FILETARE 0029809_FL";"";"03/04/2026 18:43:32";"03.04.2026 06:47 PM";"system";"Inchisa";"2391";"DS099904345";"PF-REFRIGERAT-P MEDALION SOMON 170-230G";"4";"60";"60";"Kilogram";"096.26";"14/04/2026 00:00:00";"03/04/2026 18:46:55";;"0%";;"1693";"40003";"ETICHETE DIRECT TERMICE 90x60MM";"4.2";"4";"BUCATA";"02.03.26";"02/03/2028 00:00:00";;"MASA";"1";"4"
"268781";"268780";"0029853_DC";"DECONGELARE";"DECONGELARE 0029853_DC";"";"04/04/2026 05:13:37";"04.04.2026 05:18 AM";"system";"Inchisa";"2070";"DS099904061";"PF-REFRIGERAT-FD CARACATITA 08/1 BAX 3 KG CARREFOUR";"13";"30.4";"30.4";"Kilogram";"096.26";"14/04/2026 00:00:00";"04/04/2026 05:16:24";"-24.20";"-44.32%";;"813";"DS099903350";"CARACATITA 1-2 SPANIA MOY";"54.6";"54.6";"Kilogram";"26.01.24";"14/01/2028 00:00:00";"26/01/2026 00:00:00";"MASA";"1";"54.6"
"268781";"268780";"0029853_DC";"DECONGELARE";"DECONGELARE 0029853_DC";"";"04/04/2026 05:13:37";"04.04.2026 05:18 AM";"system";"Inchisa";"2070";"DS099904061";"PF-REFRIGERAT-FD CARACATITA 08/1 BAX 3 KG CARREFOUR";"13";"30.4";"30.4";"Kilogram";"096.26";"14/04/2026 00:00:00";"04/04/2026 05:16:24";;"0%";;"1693";"40003";"ETICHETE DIRECT TERMICE 90x60MM";"13.65";"13.65";"BUCATA";"20.03.26";"20/03/2028 00:00:00";;"MASA";"1";"13.65"
"268824";"268822";"0029894_EV";"EVICERARE";"EVICERARE 0029894_EV";"";"04/04/2026 12:23:09";"04.04.2026 12:36 PM";"system";"Inchisa";"2368";"DS099904322";"PF-PASTRAV EVISCERAT 200-250, BAX 5 KG";"981.8";"981.8";"981.8";"Kilogram";"093.26";"03/04/2027 00:00:00";"04/04/2026 12:34:01";"-238.20";"-19.52%";;"1574";"DS099903630";"PASTRAV EVISCERAT PUNGA 1KG GRAN MARE BAX 10KG";"981.8";"1220";"BUCATA";"US.300-25-GUI";"27/04/2027 00:00:00";"27/10/2025 00:00:00";"MASA";"1";"1220"
"268824";"268822";"0029894_EV";"EVICERARE";"EVICERARE 0029894_EV";"";"04/04/2026 12:23:09";"04.04.2026 12:36 PM";"system";"Inchisa";"2368";"DS099904322";"PF-PASTRAV EVISCERAT 200-250, BAX 5 KG";"981.8";"981.8";"981.8";"Kilogram";"093.26";"03/04/2027 00:00:00";"04/04/2026 12:34:01";;"0%";;"1693";"40003";"ETICHETE DIRECT TERMICE 90x60MM";"196.36";"196.36";"BUCATA";"20.03.26";"20/03/2028 00:00:00";;"MASA";"1";"196.36"
"268824";"268822";"0029894_EV";"EVICERARE";"EVICERARE 0029894_EV";"";"04/04/2026 12:23:09";"04.04.2026 12:36 PM";"system";"Inchisa";"2368";"DS099904322";"PF-PASTRAV EVISCERAT 200-250, BAX 5 KG";"981.8";"981.8";"981.8";"Kilogram";"093.26";"03/04/2027 00:00:00";"04/04/2026 12:34:01";;"0%";;"2163";"10008";"CUTIE FRESH DIM INTERIOARA 342x342x155MM";"196.36";"196.36";"BUCATA";"270278";"04/02/2028 00:00:00";;"MASA";"0.42";"82.4712"
