Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
16/02/2026 12:33:00;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";;REC100;;154261;IN2995;Depozit Principal;MICRO GRUP DISTRIBUTION SRL;Receptie;132000;MIHAI PREDA;;202601744;NIR04704;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;
16/02/2026 12:33:29;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";;REC100;;154260;IN2995;Depozit Principal;MICRO GRUP DISTRIBUTION SRL;Receptie;110000;MIHAI PREDA;;202601744;NIR04704;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;
16/02/2026 12:47:11;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";REC100;DEPAMBG;154260;154260;M8__7474A771;Depozit Principal;;Mutare intre gestiuni;110000;MIHAI PREDA;;;;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;
16/02/2026 12:47:23;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";REC100;DEPAMBG;154261;154261;M8__7474A771;Depozit Principal;;Mutare intre gestiuni;132000;MIHAI PREDA;;;;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;
31/03/2026 12:07:22;40003;ETICHETE DIRECT TERMICE 90x60MM;;REC100;;168792;IN3280;Depozit Principal;ALL4LABELS BUCHAREST S.R.L.;Receptie;185000;MIHAI PREDA;;2844958;NIR05147;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;
31/03/2026 12:07:40;40003;ETICHETE DIRECT TERMICE 90x60MM;;REC100;;168792;IN3280;Depozit Principal;ALL4LABELS BUCHAREST S.R.L.;Receptie;53580;MIHAI PREDA;;2844958;NIR05147;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;
31/03/2026 12:09:46;40003;ETICHETE DIRECT TERMICE 90x60MM;REC100;DEPAMBF;168792;168792;M8__42585A40;Depozit Principal;;Mutare intre gestiuni;238580;MIHAI PREDA;;;;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;
02/04/2026 05:00:56;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";DEPAMBG;DEPAMB;154261;;M8__42585A40;Depozit Principal;;Mutare intre gestiuni;132000;MIHAI PREDA;;;;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;
13/04/2026 11:43:07;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMBF;DEPAMB;168792;;M31__F619CF60;Depozit Principal;;Mutare intre gestiuni;238580;Adrian Oprea;;;;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;
23/04/2026 13:38:42;60001;GAZ ALIMENTAR ALISOL;;DEPAMB;;;IN3427;Depozit Principal;SOL ROMANIA S.A.;Receptie;428.16;MIHAI PREDA;;1504260258;NIR05342;260423;M3;Oceanis Seafood Europa S.R.L.;
30/04/2026 17:03:52;40021;ETICHETE IMPRIMATE 90*60MM PASTRAV CURCUBEU LIDL;;DEPAMB;;;IN3472;Depozit Principal;ALL4LABELS BUCHAREST S.R.L.;Receptie;100080;Adrian Oprea;;2848445;NIR05425;260430;BUCATA;Oceanis Seafood Europa S.R.L.;
